NORAD,Longitude,COSPAR,SATNAME,COUNTRY,LAUNCH,COMPLIANCE
53765,2.690108256,2022-110A,EUTE KONNECT VHTS,EUTE,9/7/22,Yes
36831,2.8277227,2010-037B,RASCOM QAF 1R,RASC,8/4/10,Yes
39773,3.041374349,2014-030A,EUTE 3B,EUTE,5/26/14,Yes
36868,4.069643815,2010-039A,AEHF 1 (USA 214),US,8/14/10,Yes
32299,4.79253202,2007-057A,ASTRA 4A (SIRIUS 4),SES,11/17/07,Yes
38652,4.974142243,2012-036A,SES 5,SES,7/9/12,Yes
55180,5.961578338,2023-002C,SJ-23 AKM,PRC,1/8/23,No
32258,6.005132447,2007-046A,WGS F1 (USA 195),US,10/11/07,No
44334,6.973321229,2019-034B,EUTE 7C,EUTE,6/20/19,Yes
39163,7.035368391,2013-022A,EUTE 7B (EUTE 3D),EUTE,5/14/13,Yes
45027,7.215685251,2020-005B,EUTE KONNECT,EUTE,1/16/20,Yes
37258,8.92561059,2010-069A,EUTE KA SAT 9A (KA SAT),EUTE,12/26/10,Yes
55841,8.963304168,2023-031A,LUCH (OLYMP) 2,CIS,3/12/23,No
41310,8.982093429,2016-005A,EUTE 9B,EUTE,1/29/16,Yes
34710,10.06042259,2009-016A,EUTE 10A (EUTE W2A),EUTE,4/3/09,Yes
42749,10.28011188,2017-032A,ECHOSTAR 21,US,6/8/17,No
53100,10.56783019,2022-078A,TIANLIAN-2 03,PRC,7/12/22,Yes
44801,11.01848891,2019-080B,INMARSAT GX5,IM,11/26/19,Yes
44457,12.00681919,2019-048A,COSMOS 2539,CIS,8/5/19,Yes
28946,12.92286021,2006-007B,EUTELSAT HOTBIRD 13E,EUTE,3/11/06,Yes
29270,13.00350189,2006-032A,EUTE HOT BIRD 13B (HB 8),EUTE,8/4/06,Yes
54225,13.02363026,2022-146A,HOTBIRD 13G,EUTE,11/3/22,Yes
36582,13.19679533,2010-021B,COMSATBW-2,GER,5/21/10,Yes
37836,15.97063924,2011-057A,EUTE 16A (EUTE W3C),EUTE,10/7/11,Yes
49011,16.7770219,2021-063A,TIANLIAN 1-O5,PRC,7/6/21,Yes
44479,16.97847972,2019-050A,AMOS 17,ISRA,8/6/19,Yes
27168,19.05617985,2002-001A,USA 164,US,1/14/02,Yes
29055,19.16380947,2006-012A,ASTRA 1KR,SES,4/20/06,Yes
33436,19.1771518,2008-057A,ASTRA 1M,SES,11/5/08,Yes
31306,19.21903298,2007-016A,ASTRA 1L,SES,5/4/07,Yes
37810,19.93091057,2011-049B,ARABSAT 5C,AB,9/21/11,Yes
48618,20.74708573,2021-042A,SBIRS GEO 5 (USA 315),US,5/18/21,Yes
38992,21.59282331,2012-062B,EUTE 21B,EUTE,11/10/12,Yes
54033,23.00584472,2022-131A,ANGOSAT 2,AGO,10/12/22,No
36581,23.57062921,2010-021A,ASTRA 3B,SES,5/21/10,Yes
50322,23.98820909,2021-129B,SHIYAN 12 02 (SY-12 02),PRC,12/23/21,No
39233,25.52130544,2013-044A,EUTE 25B,EUTE,8/29/13,Yes
43700,25.78590328,2018-090A,ES'HAIL 2,QAT,11/15/18,Yes
29526,25.97905536,2006-051A,ARABSAT 4B,AB,11/8/06,Yes
36592,25.98509398,2010-025A,BADR-5 (ARABSAT 5B),AB,6/3/10,Yes
41029,26.01260853,2015-065B,BADR 7,AB,11/10/15,Yes
33154,26.02929127,2008-034B,BADR 6,AB,7/7/08,Yes
38778,28.19853983,2012-051A,ASTRA 2F,SES,9/28/12,Yes
40364,28.20143522,2014-089A,ASTRA 2G,SES,12/27/14,Yes
22787,28.46351385,1993-056A,UFO 2 (USA 95),US,9/3/93,No
39285,28.51641539,2013-056A,ASTRA 2E,SES,9/29/13,Yes
28542,29.0015193,2005-005A,XTAR-EUR,US,2/12/05,Yes
44186,30.46597032,2019-021A,ARABSAT 6A,AB,4/11/19,Yes
36745,30.5136448,2010-032B,ARABSAT 5A,AB,6/26/10,Yes
47306,30.93787073,2021-001A,TURKSAT 5A,TURK,1/8/21,Yes
38741,31.04257828,2012-043B,HYLAS 2,UK,8/2/12,Yes
44475,31.18244369,2019-049A,EDRS-C,ESA,8/6/19,Yes
39617,31.50631124,2014-011B,ASTRA 5B,SES,3/22/14,Yes
49330,32.5657121,2021-094A,SJ-21,PRC,10/24/21,Yes
41384,32.65666963,2016-015A,IRNSS 1F,IND,3/10/16,Yes
37392,32.78094637,2011-016A,INTELSAT NEW DAWN,ITSO,4/22/11,Yes
33750,33.14238413,2009-008B,EUTE 33E,EUTE,2/12/09,Yes
44800,35.49083769,2019-080A,TIBA-1,EGYP,11/26/19,Yes
36101,35.92868004,2009-065A,EUTE 36B (EUTE W7),EUTE,11/24/09,Yes
41191,36.12034584,2015-082A,EXPRESS AMU1,CIS,12/24/15,Yes
39509,37.79722537,2014-006B,ATHENA-FIDUS,FRIT,2/6/14,Yes
37779,37.98432933,2011-042A,PAKSAT 1R,PAKI,8/11/11,Yes
44034,38.9705126,2019-007A,SAUDIGEOSAT1/HELLASSAT4,GREC,2/5/19,Yes
42814,39.03257491,2017-040A,HELLAS-SAT 3,ESA,6/28/17,Yes
40505,39.99944405,2015-012A,EXPRESS AM-7,CIS,3/18/15,Yes
39522,42.00565298,2014-007A,TURKSAT 4A,TURK,2/14/14,Yes
33056,42.0062632,2008-030B,TURKSAT 3A,TURK,6/12/08,Yes
50212,42.04491839,2021-126A,TURKSAT 5B,TURK,12/19/21,Yes
38014,42.52355412,2011-077A,NIGCOMSAT 1R,NIG,12/19/11,Yes
27825,43.96862437,2003-026A,THURAYA 2,UAE,6/10/03,Yes
42907,44.98678842,2017-046A,COSMOS 2520,CIS,8/16/17,Yes
43632,45.1324404,2018-074A,AZERSPACE 2/INTELSAT 38,AZER,9/25/18,Yes
49333,45.53112036,2021-095B,SYRACUSE 4A,FR,10/24/21,Yes
39079,45.99234955,2013-006B,AZERSPACE 1,AZER,2/7/13,Yes
38245,47.6006685,2012-016A,YAHSAT 1B,UAE,4/23/12,Yes
49056,47.71830056,2021-069B,EUTELSAT QUANTUM,EUTE,7/30/21,Yes
44035,47.87909488,2019-007B,GSAT 31,IND,2/5/19,Yes
42747,47.96597294,2017-031A,GSAT 19,IND,6/5/17,Yes
44307,49.0135294,2019-031A,YAMAL 601,CIS,5/30/19,Yes
40984,50.0123798,2015-060A,TURKSAT 4B,TURK,10/16/15,Yes
41238,51.49085604,2016-001A,BELINTERSAT 1,BELA,1/15/16,Yes
40617,51.99418887,2015-023A,TURKMENALEM 52E/MONACOSA,TMMC,4/27/15,Yes
37393,52.47536402,2011-016B,YAHSAT 1A,UAE,4/22/11,Yes
39034,52.78638623,2012-075A,SKYNET 5D,UK,12/19/12,Yes
40277,52.99707395,2014-064A,EXPRESS AM-6,CIS,10/21/14,Yes
44481,54.66217088,2019-051A,AEHF 5 (USA 292),US,8/8/19,Yes
39022,54.91142791,2012-070A,YAMAL 402,CIS,12/8/12,Yes
43286,54.98235575,2018-035A,IRNSS 1I,IND,4/11/18,Yes
37605,55.1001136,2011-022A,GSAT 8,IND,5/20/11,Yes
43698,55.15057606,2018-089A,GSAT 29,IND,11/14/18,Yes
40332,55.1747957,2014-078A,GSAT 16,IND,12/6/14,Yes
39635,55.73744939,2014-017A,IRNSS 1B,IND,4/4/14,No
